Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,3,0,2000,1994.0198000000844,1970.7582999999431,2009.996200000387,129.0,1.4800047989047205,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
,Aggregated,3,0,2000,1994.0198000000844,1970.7582999999431,2009.996200000387,129.0,1.4800047989047205,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
