Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/data,798,0,66,76.84574674186207,5.3558999998131185,4997.501999999258,2195.314536340852,6.838390190341147,0.0,66,79,85,90,100,110,120,120,5000,5000,5000
GET,/health,1068,0,5,5.4107227527869535,1.5280999996321043,42.83190000023751,59.105805243445694,9.152131232185896,0.0,5,5,6,6,8,10,17,20,42,43,43
POST,/login,100,80,24,1843.173829000007,7.8053999995972845,7623.258100000385,75.6,0.8569411266091663,0.685552901287333,24,2600,3700,4600,6600,7600,7600,7600,7600,7600,7600
GET,/me,472,0,5,27.564754025424378,1.9482999996398576,4954.672599999867,60.936440677966104,4.044762117595265,0.0,5,6,7,8,9,12,19,55,5000,5000,5000
POST,/profile/update,117,0,60,102.8585666666851,35.94690000045375,5001.52319999961,73.84615384615384,1.0026211181327245,0.0,60,66,67,68,72,82,100,100,5000,5000,5000
,Aggregated,2555,80,7,108.2050711937318,1.5280999996321043,7623.258100000385,727.9639921722113,21.8948457848642,0.685552901287333,7,34,53,64,85,100,140,3700,7600,7600,7600
